,Ticker,Date,Div Amount
313,TCL.AX,2019-06-27,0.3
314,TCL.AX,2018-12-28,0.29
315,TCL.AX,2018-06-28,0.28
316,TCL.AX,2017-12-28,0.28
317,TCL.AX,2017-06-29,0.265
318,TCL.AX,2016-12-29,0.25
319,TCL.AX,2016-06-29,0.23
320,TCL.AX,2015-12-29,0.225
321,TCL.AX,2015-06-26,0.205
322,TKL.AX,2018-05-29,0.000286
323,TPM.AX,2020-04-09,0.03
324,TPM.AX,2019-10-14,0.02
325,TPM.AX,2019-04-15,0.02
326,TPM.AX,2018-10-15,0.02
327,TPM.AX,2018-04-16,0.02
328,TPM.AX,2017-10-16,0.02
329,TPM.AX,2017-04-13,0.08
330,TPM.AX,2016-10-17,0.075
331,TPM.AX,2016-04-18,0.07
332,TPM.AX,2015-10-09,0.06
333,TPM.AX,2015-04-10,0.055
334,TPC.AX,2017-03-07,0.03
335,TWR.AX,2016-06-09,0.068
336,TWR.AX,2016-01-18,0.0595
337,TWR.AX,2015-06-10,0.0646
338,TWR.AX,2015-01-20,0.08
339,TLT.AX,2018-11-15,0.016
340,TLT.AX,2018-05-24,0.018
341,TOP.AX,2018-03-14,0.006
342,TOP.AX,2017-09-13,0.00455
343,TOP.AX,2017-03-15,0.006
344,TOP.AX,2016-09-13,0.006
345,TOP.AX,2016-03-15,0.0055
346,TOP.AX,2015-09-16,0.005
347,TGA.AX,2018-01-04,0.01
348,TGA.AX,2017-07-03,0.025
349,TGA.AX,2017-01-04,0.055
350,TGA.AX,2016-06-30,0.06
351,TGA.AX,2016-01-05,0.055
352,TGA.AX,2015-06-30,0.0675
353,TGA.AX,2015-01-06,0.05
354,TNK.AX,2020-03-16,0.05
355,TNK.AX,2019-12-16,0.098582
356,TNK.AX,2019-09-05,0.02
357,TNK.AX,2019-03-18,0.065
358,TNK.AX,2018-03-07,0.06
359,TNK.AX,2017-09-11,0.04
360,TNK.AX,2017-03-14,0.05
361,TNK.AX,2016-09-02,0.04
362,TNK.AX,2016-03-18,0.072
363,SGR.AX,2020-02-25,0.105
364,SGR.AX,2019-08-21,0.1
365,SGR.AX,2019-02-26,0.105
366,SGR.AX,2018-08-29,0.13
367,SGR.AX,2018-02-21,0.075
368,SGR.AX,2017-08-28,0.085
369,SGR.AX,2017-02-21,0.075
370,SGR.AX,2016-08-31,0.075
371,SGR.AX,2016-02-19,0.055
372,SGR.AX,2015-08-17,0.06
373,SGR.AX,2015-02-09,0.05
374,TRS.AX,2019-03-15,0.097145
375,TRS.AX,2018-09-27,0.11
376,TRS.AX,2018-03-16,0.24
377,TRS.AX,2017-03-17,0.24
378,TRS.AX,2016-09-29,0.19
379,TRS.AX,2016-03-18,0.25
380,TRS.AX,2015-09-23,0.135
381,TRS.AX,2015-03-19,0.165
382,PGR.AX,2018-03-15,0.015
383,PGR.AX,2017-09-14,0.0105
384,PGR.AX,2017-03-16,0.026
385,PGR.AX,2016-09-15,0.026
386,PGR.AX,2016-03-17,0.026
387,PGR.AX,2015-09-16,0.031
388,PGR.AX,2015-03-18,0.019
389,CGL.AX,2020-02-25,0.048
390,CGL.AX,2019-08-23,0.06
391,CGL.AX,2019-02-22,0.048
392,CGL.AX,2018-08-23,0.09
393,CGL.AX,2018-02-22,0.048
394,CGL.AX,2017-08-24,0.08
395,CGL.AX,2017-02-23,0.048
396,CGL.AX,2016-08-25,0.048
397,CGL.AX,2016-02-24,0.048
398,CGL.AX,2015-08-27,0.058
399,TER.AX,2019-10-29,0.01
400,TGG.AX,2020-03-12,0.02
401,TGG.AX,2019-09-05,0.05
402,TGG.AX,2019-03-14,0.02
403,TLS.AX,2020-02-26,0.03
404,TLS.AX,2019-08-28,0.03
405,TLS.AX,2019-02-27,0.05
406,TLS.AX,2018-08-29,0.075
407,TLS.AX,2018-02-28,0.075
408,TLS.AX,2017-08-30,0.155
409,TLS.AX,2017-03-01,0.155
410,TLS.AX,2016-08-24,0.155
411,TLS.AX,2016-03-01,0.155
412,TLS.AX,2015-08-25,0.155
413,TLS.AX,2015-02-25,0.15
414,TNE.AX,2019-11-28,0.0878
415,TNE.AX,2019-05-30,0.0315
416,TNE.AX,2018-11-29,0.0616
417,TNE.AX,2018-05-31,0.0286
418,TNE.AX,2017-11-28,0.056
419,TNE.AX,2017-06-01,0.026
420,TNE.AX,2016-11-28,0.0509
421,TNE.AX,2016-06-01,0.0236
422,TNE.AX,2015-11-30,0.0463
423,TNE.AX,2015-06-01,0.0215
424,TCN.AX,2017-09-07,0.00245
